S2B_MSIL2A_20220206T181519_N0400_R084_T12TVM_20220206T204138.SAFE	T12TVM_20220206T181519_SCL_20m.jp2	92
S2A_MSIL2A_20220114T185731_N0301_R113_T10TGK_20220114T212747.SAFE	T10TGK_20220114T185731_SCL_20m.jp2	92
S2B_MSIL2A_20220404T175909_N0400_R041_T12SWG_20220404T222804.SAFE	T12SWG_20220404T175909_B03_10m.jp2	92
S2B_MSIL2A_20220404T175909_N0400_R041_T12SWG_20220404T222804.SAFE	T12SWG_20220404T175909_B04_10m.jp2	92
S2B_MSIL2A_20220219T182409_N0400_R127_T11SQV_20220219T205256.SAFE	T11SQV_20220219T182409_B02_10m.jp2	92
S2B_MSIL2A_20220219T182409_N0400_R127_T11SQV_20220219T205256.SAFE	T11SQV_20220219T182409_B04_10m.jp2	92
S2A_MSIL2A_20220531T183931_N0400_R070_T11SLC_20220601T001913.SAFE	T11SLC_20220531T183931_B08_10m.jp2	0
S2A_MSIL2A_20220531T183931_N0400_R070_T11SLC_20220601T001913.SAFE	T11SLC_20220531T183931_B04_10m.jp2	0
S2A_MSIL2A_20220211T181501_N0400_R084_T12TVK_20220211T212618.SAFE	T12TVK_20220211T181501_SCL_20m.jp2	0
S2B_MSIL2A_20220726T180919_N0400_R084_T12TXL_20220726T210436.SAFE	T12TXL_20220726T180919_B04_10m.jp2	0
S2B_MSIL2A_20220726T180919_N0400_R084_T12TXL_20220726T210436.SAFE	T12TXL_20220726T180919_SCL_20m.jp2	0
S2B_MSIL2A_20220726T180919_N0400_R084_T12TXL_20220726T210436.SAFE	T12TXL_20220726T180919_B02_10m.jp2	0
S2B_MSIL2A_20220109T185749_N0301_R113_T10SGJ_20220109T210426.SAFE	T10SGJ_20220109T185749_SCL_20m.jp2	0
S2A_MSIL2A_20220524T184921_N0400_R113_T10TFK_20220525T004817.SAFE	T10TFK_20220524T184921_SCL_20m.jp2	0
S2A_MSIL2A_20220524T184921_N0400_R113_T10TFK_20220525T004817.SAFE	T10TFK_20220524T184921_B08_10m.jp2	0
S2A_MSIL2A_20230208T185531_N0509_R113_T10SGJ_20230208T225853.SAFE	T10SGJ_20230208T185531_B04_10m.jp2	92
S2A_MSIL2A_20221008T184301_N0400_R070_T11TKE_20221009T000557.SAFE	T11TKE_20221008T184301_SCL_20m.jp2	0
S2A_MSIL2A_20220515T181921_N0400_R127_T11SQA_20220516T002315.SAFE	T11SQA_20220515T181921_B03_10m.jp2	92
S2A_MSIL2A_20220515T181921_N0400_R127_T11SQA_20220516T002315.SAFE	T11SQA_20220515T181921_B08_10m.jp2	92
S2A_MSIL2A_20220325T185021_N0400_R113_T10SEH_20220325T235521.SAFE	T10SEH_20220325T185021_B04_10m.jp2	0
S2B_MSIL2A_20220318T180959_N0400_R084_T12SVG_20220318T222337.SAFE	T12SVG_20220318T180959_SCL_20m.jp2	0
S2B_MSIL2A_20220824T183919_N0400_R070_T10SGJ_20220824T230532.SAFE	T10SGJ_20220824T183919_B04_10m.jp2	92
S2B_MSIL2A_20220824T183919_N0400_R070_T10SGJ_20220824T230532.SAFE	T10SGJ_20220824T183919_SCL_20m.jp2	92
S2B_MSIL2A_20220109T185749_N0301_R113_T10TFL_20220109T210426.SAFE	T10TFL_20220109T185749_B02_10m.jp2	92
S2B_MSIL2A_20220109T185749_N0301_R113_T10TFL_20220109T210426.SAFE	T10TFL_20220109T185749_B03_10m.jp2	92
S2B_MSIL2A_20220109T185749_N0301_R113_T10TFL_20220109T210426.SAFE	T10TFL_20220109T185749_B08_10m.jp2	92
S2B_MSIL2A_20220109T185749_N0301_R113_T10TFL_20220109T210426.SAFE	T10TFL_20220109T185749_B04_10m.jp2	92
S2A_MSIL2A_20221127T184721_N0400_R070_T11SKD_20221127T220058.SAFE	T11SKD_20221127T184721_B03_10m.jp2	92
S2A_MSIL2A_20221127T184721_N0400_R070_T11SKD_20221127T220058.SAFE	T11SKD_20221127T184721_B08_10m.jp2	92
S2A_MSIL2A_20221127T184721_N0400_R070_T11SKD_20221127T220058.SAFE	T11SKD_20221127T184721_B02_10m.jp2	92
S2A_MSIL2A_20220621T180931_N0400_R084_T12TVK_20220621T233211.SAFE	T12TVK_20220621T180931_SCL_20m.jp2	0
S2A_MSIL2A_20221021T185421_N0400_R113_T11TKE_20221021T223758.SAFE	T11TKE_20221021T185421_B08_10m.jp2	92
S2A_MSIL2A_20221021T185421_N0400_R113_T10SGJ_20221021T223758.SAFE	T10SGJ_20221021T185421_B02_10m.jp2	0
S2A_MSIL2A_20221021T185421_N0400_R113_T10SGJ_20221021T223758.SAFE	T10SGJ_20221021T185421_B04_10m.jp2	0
S2A_MSIL2A_20221021T185421_N0400_R113_T10SGJ_20221021T223758.SAFE	T10SGJ_20221021T185421_SCL_20m.jp2	0
